Movement1,Movement2,SameClass,Subject1,Subject2,Distance
BothReleased,BothReleased,True,1,2,32.37113946371191
BothReleased,BothReleased,True,1,3,30.89265500596267
BothReleased,BothReleased,True,1,4,29.427289971458016
BothReleased,BothReleased,True,1,5,42.121670111271285
BothReleased,BothReleased,True,1,6,28.254121723597617
BothReleased,BothReleased,True,1,7,26.949950974376353
BothReleased,BothReleased,True,1,8,27.37623654041643
BothReleased,BothReleased,True,1,9,28.352907726783535
BothReleased,BothReleased,True,1,10,29.940844031447877
BothReleased,BothReleased,True,1,11,36.50826646295367
BothReleased,BothReleased,True,1,12,26.46991912392256
BothReleased,BothReleased,True,2,1,32.37969353212467
BothReleased,BothReleased,True,2,3,28.281068309752982
BothReleased,BothReleased,True,2,4,29.689624228292853
BothReleased,BothReleased,True,2,5,37.511498336494476
BothReleased,BothReleased,True,2,6,32.932109673852146
BothReleased,BothReleased,True,2,7,30.660056506922707
BothReleased,BothReleased,True,2,8,33.978687220982856
BothReleased,BothReleased,True,2,9,33.212888062774354
BothReleased,BothReleased,True,2,10,27.56547178599484
BothReleased,BothReleased,True,2,11,29.311392736236552
BothReleased,BothReleased,True,2,12,29.061026714629048
BothReleased,BothReleased,True,3,1,30.886539699320515
BothReleased,BothReleased,True,3,2,28.280296628380025
BothReleased,BothReleased,True,3,4,33.49025462326165
BothReleased,BothReleased,True,3,5,43.401866998515956
BothReleased,BothReleased,True,3,6,33.55623307907083
BothReleased,BothReleased,True,3,7,26.73601109492801
BothReleased,BothReleased,True,3,8,31.475515239084242
BothReleased,BothReleased,True,3,9,35.52926314428724
BothReleased,BothReleased,True,3,10,30.620569842410504
BothReleased,BothReleased,True,3,11,37.95022438890519
BothReleased,BothReleased,True,3,12,27.03313588833158
BothReleased,BothReleased,True,4,1,29.420732517409373
BothReleased,BothReleased,True,4,2,29.689624228292853
BothReleased,BothReleased,True,4,3,33.49025462326165
BothReleased,BothReleased,True,4,5,34.94987291192465
BothReleased,BothReleased,True,4,6,27.488850211241484
BothReleased,BothReleased,True,4,7,29.524466953296574
BothReleased,BothReleased,True,4,8,29.732566566911
BothReleased,BothReleased,True,4,9,30.657818469014053
BothReleased,BothReleased,True,4,10,28.38671660555426
BothReleased,BothReleased,True,4,11,32.0558320950853
BothReleased,BothReleased,True,4,12,28.635900574921376
BothReleased,BothReleased,True,5,1,42.12128217623931
BothReleased,BothReleased,True,5,2,37.50640970072859
BothReleased,BothReleased,True,5,3,43.39211853178293
BothReleased,BothReleased,True,5,4,34.934092893807204
BothReleased,BothReleased,True,5,6,37.71754781534344
BothReleased,BothReleased,True,5,7,40.28923157346371
BothReleased,BothReleased,True,5,8,39.72796204751992
BothReleased,BothReleased,True,5,9,38.77377408049495
BothReleased,BothReleased,True,5,10,36.156944868927646
BothReleased,BothReleased,True,5,11,32.927015010308374
BothReleased,BothReleased,True,5,12,42.277183775161156
BothReleased,BothReleased,True,6,1,28.254121723597617
BothReleased,BothReleased,True,6,2,32.932109673852146
BothReleased,BothReleased,True,6,3,33.55999348012234
BothReleased,BothReleased,True,6,4,27.503205674586667
BothReleased,BothReleased,True,6,5,37.71995467188525
BothReleased,BothReleased,True,6,7,28.85281041862078
BothReleased,BothReleased,True,6,8,29.815241837273767
BothReleased,BothReleased,True,6,9,28.66082660081403
BothReleased,BothReleased,True,6,10,27.221485744547927
BothReleased,BothReleased,True,6,11,34.107461267648965
BothReleased,BothReleased,True,6,12,29.121774781330732
BothReleased,BothReleased,True,7,1,26.95426245498903
BothReleased,BothReleased,True,7,2,30.66492183048297
BothReleased,BothReleased,True,7,3,26.740414163927188
BothReleased,BothReleased,True,7,4,29.524466953296574
BothReleased,BothReleased,True,7,5,40.294735964157645
BothReleased,BothReleased,True,7,6,28.854934393334645
BothReleased,BothReleased,True,7,8,26.99095340929403
BothReleased,BothReleased,True,7,9,29.51742343921344
BothReleased,BothReleased,True,7,10,28.262094051051672
BothReleased,BothReleased,True,7,11,37.766320442966354
BothReleased,BothReleased,True,7,12,25.46034373615401
BothReleased,BothReleased,True,8,1,27.378663688538904
BothReleased,BothReleased,True,8,2,33.978687220982856
BothReleased,BothReleased,True,8,3,31.47221910995809
BothReleased,BothReleased,True,8,4,29.732566566911
BothReleased,BothReleased,True,8,5,39.7288756927635
BothReleased,BothReleased,True,8,6,29.813617651217506
BothReleased,BothReleased,True,8,7,26.993676287790795
BothReleased,BothReleased,True,8,9,31.344911056461353
BothReleased,BothReleased,True,8,10,30.694464377110002
BothReleased,BothReleased,True,8,11,38.214198214352194
BothReleased,BothReleased,True,8,12,28.69319018847721
BothReleased,BothReleased,True,9,1,28.357948193867966
BothReleased,BothReleased,True,9,2,33.21960377823828
BothReleased,BothReleased,True,9,3,35.520366859327574
BothReleased,BothReleased,True,9,4,30.67068697333362
BothReleased,BothReleased,True,9,5,38.78543915218858
BothReleased,BothReleased,True,9,6,28.66595482574441
BothReleased,BothReleased,True,9,7,29.515535201355206
BothReleased,BothReleased,True,9,8,31.334571340449738
BothReleased,BothReleased,True,9,10,30.73516055538607
BothReleased,BothReleased,True,9,11,36.96322796516111
BothReleased,BothReleased,True,9,12,30.30054995224834
BothReleased,BothReleased,True,10,1,29.937652676059027
BothReleased,BothReleased,True,10,2,27.561582717386532
BothReleased,BothReleased,True,10,3,30.633613064893137
BothReleased,BothReleased,True,10,4,28.363535188605823
BothReleased,BothReleased,True,10,5,36.16117728493433
BothReleased,BothReleased,True,10,6,27.219671426270974
BothReleased,BothReleased,True,10,7,28.263091090549587
BothReleased,BothReleased,True,10,8,30.680918680829137
BothReleased,BothReleased,True,10,9,30.733298265737318
BothReleased,BothReleased,True,10,11,32.605745516487005
BothReleased,BothReleased,True,10,12,28.731382446605767
BothReleased,BothReleased,True,11,1,36.499212876818376
BothReleased,BothReleased,True,11,2,29.309158766179195
BothReleased,BothReleased,True,11,3,37.95022438890519
BothReleased,BothReleased,True,11,4,32.04663603357893
BothReleased,BothReleased,True,11,5,32.93316121195228
BothReleased,BothReleased,True,11,6,34.100964731811686
BothReleased,BothReleased,True,11,7,37.76742482992915
BothReleased,BothReleased,True,11,8,38.20798716849678
BothReleased,BothReleased,True,11,9,36.96474555834813
BothReleased,BothReleased,True,11,10,32.60227660241054
BothReleased,BothReleased,True,11,12,35.0634444628224
BothReleased,BothReleased,True,12,1,26.464710725697287
BothReleased,BothReleased,True,12,2,29.06686499458299
BothReleased,BothReleased,True,12,3,27.029623857151165
BothReleased,BothReleased,True,12,4,28.635900574921376
BothReleased,BothReleased,True,12,5,42.27666788745547
BothReleased,BothReleased,True,12,6,29.11951940955267
BothReleased,BothReleased,True,12,7,25.459912751464653
BothReleased,BothReleased,True,12,8,28.71774448862746
BothReleased,BothReleased,True,12,9,30.308490297313753
BothReleased,BothReleased,True,12,10,28.7353018341071
BothReleased,BothReleased,True,12,11,35.071964481161004
BothReleased,BothStartLoadPhase,False,1,2,39.895621781007094
BothReleased,BothStartLoadPhase,False,1,3,28.671806702736884
