Movement1,Movement2,SameClass,Subject1,Subject2,Distance
BothReleased,BothReleased,True,2,1,24.314774321161867
BothReleased,BothReleased,True,2,3,27.209585215637773
BothReleased,BothReleased,True,2,4,27.30020623718456
BothReleased,BothReleased,True,2,5,33.73835257433055
BothReleased,BothReleased,True,2,6,26.23327394458744
BothReleased,BothReleased,True,2,7,25.096588218648705
BothReleased,BothReleased,True,2,8,19.674648153484757
BothReleased,BothReleased,True,2,9,33.706129222715134
BothReleased,BothReleased,True,2,10,28.590345454389645
BothReleased,BothReleased,True,2,11,32.748851497703875
BothReleased,BothReleased,True,2,12,22.895655469202357
BothReleased,BothReleased,True,3,1,24.00573334346299
BothReleased,BothReleased,True,3,2,27.232903819751446
BothReleased,BothReleased,True,3,4,28.38251990134394
BothReleased,BothReleased,True,3,5,38.37401311151583
BothReleased,BothReleased,True,3,6,32.71774546642787
BothReleased,BothReleased,True,3,7,25.282979594071527
BothReleased,BothReleased,True,3,8,29.11274524509235
BothReleased,BothReleased,True,3,9,26.597539042886734
BothReleased,BothReleased,True,3,10,27.888337618989414
BothReleased,BothReleased,True,3,11,32.43917785486254
BothReleased,BothReleased,True,3,12,22.77464048238979
BothReleased,BothReleased,True,12,1,23.64543202732625
BothReleased,BothReleased,True,12,2,22.892000146666696
BothReleased,BothReleased,True,12,3,22.782418792122552
BothReleased,BothReleased,True,12,4,26.89786702948575
BothReleased,BothReleased,True,12,5,35.82174585948553
BothReleased,BothReleased,True,12,6,30.450027616306492
BothReleased,BothReleased,True,12,7,25.252528811309897
BothReleased,BothReleased,True,12,8,24.199588948874254
BothReleased,BothReleased,True,12,9,27.202567545701513
BothReleased,BothReleased,True,12,10,29.128997984464757
BothReleased,BothReleased,True,12,11,32.692777043247794
BothReleased,BothReleased,True,1,2,24.322015377753978
BothReleased,BothReleased,True,1,3,24.00426286244669
BothReleased,BothReleased,True,1,4,23.58265291898728
BothReleased,BothReleased,True,1,5,34.87195479843303
BothReleased,BothReleased,True,1,6,29.404351362016154
BothReleased,BothReleased,True,1,7,24.373235985544593
BothReleased,BothReleased,True,1,8,27.928055595713467
BothReleased,BothReleased,True,1,9,26.886394158803895
BothReleased,BothReleased,True,1,10,27.77802305690113
BothReleased,BothReleased,True,1,11,28.70527240472239
BothReleased,BothReleased,True,1,12,23.657323686856245
BothReleased,BothReleased,True,7,1,24.36529312476425
BothReleased,BothReleased,True,7,2,25.10126054813975
BothReleased,BothReleased,True,7,3,25.270812093842167
BothReleased,BothReleased,True,7,4,25.350471431004536
BothReleased,BothReleased,True,7,5,38.16237826021618
BothReleased,BothReleased,True,7,6,24.727532450371083
BothReleased,BothReleased,True,7,8,29.912820503422
BothReleased,BothReleased,True,7,9,28.735444559469453
BothReleased,BothReleased,True,7,10,29.065307701465983
BothReleased,BothReleased,True,7,11,30.87716923363065
BothReleased,BothReleased,True,7,12,25.23005654840301
BothReleased,BothReleased,True,11,1,28.69907156504809
BothReleased,BothReleased,True,11,2,32.73809528739301
BothReleased,BothReleased,True,11,3,32.42425230115425
BothReleased,BothReleased,True,11,4,29.91283726201564
BothReleased,BothReleased,True,11,5,38.36042970742298
BothReleased,BothReleased,True,11,6,36.137440591687195
BothReleased,BothReleased,True,11,7,30.84800854465053
BothReleased,BothReleased,True,11,8,35.606759170694914
BothReleased,BothReleased,True,11,9,35.5610589383023
BothReleased,BothReleased,True,11,10,31.305778620969285
BothReleased,BothReleased,True,11,12,32.669419151565215
BothReleased,BothReleased,True,10,1,27.795935801954602
BothReleased,BothReleased,True,10,2,28.55366864776453
BothReleased,BothReleased,True,10,3,27.886393115885475
BothReleased,BothReleased,True,10,4,29.252319342778048
BothReleased,BothReleased,True,10,5,38.73086339948839
BothReleased,BothReleased,True,10,6,36.114964710407826
BothReleased,BothReleased,True,10,7,29.054966615981325
BothReleased,BothReleased,True,10,8,27.743940402225007
BothReleased,BothReleased,True,10,9,30.23081095790511
BothReleased,BothReleased,True,10,11,31.313036175015082
BothReleased,BothReleased,True,10,12,29.11847151765906
BothReleased,BothReleased,True,9,1,26.883590694927506
BothReleased,BothReleased,True,9,2,33.696632120378126
BothReleased,BothReleased,True,9,3,26.60656583614108
BothReleased,BothReleased,True,9,4,28.62540254067616
BothReleased,BothReleased,True,9,5,39.19283587085204
BothReleased,BothReleased,True,9,6,39.66410219912145
BothReleased,BothReleased,True,9,7,28.708542429045444
BothReleased,BothReleased,True,9,8,36.029547540870965
BothReleased,BothReleased,True,9,10,30.214438711274028
BothReleased,BothReleased,True,9,11,35.56618252317237
BothReleased,BothReleased,True,9,12,27.216757387397845
BothReleased,BothReleased,True,5,1,34.872864446197774
BothReleased,BothReleased,True,5,2,33.73640172103358
BothReleased,BothReleased,True,5,3,38.37709175174536
BothReleased,BothReleased,True,5,4,40.02793196179728
BothReleased,BothReleased,True,5,6,39.87498274725405
BothReleased,BothReleased,True,5,7,38.1756089861875
BothReleased,BothReleased,True,5,8,36.11073273817603
BothReleased,BothReleased,True,5,9,39.193076784891694
BothReleased,BothReleased,True,5,10,38.73204677616221
BothReleased,BothReleased,True,5,11,38.364634089599406
BothReleased,BothReleased,True,5,12,35.80930754737462
BothReleased,BothReleased,True,6,1,29.417939386838743
BothReleased,BothReleased,True,6,2,26.244694157544114
BothReleased,BothReleased,True,6,3,32.70073045458529
BothReleased,BothReleased,True,6,4,30.604955989989794
BothReleased,BothReleased,True,6,5,39.87037020445522
BothReleased,BothReleased,True,6,7,24.714538885726622
BothReleased,BothReleased,True,6,8,30.04145732443686
BothReleased,BothReleased,True,6,9,39.667000561213854
BothReleased,BothReleased,True,6,10,36.123750600893
BothReleased,BothReleased,True,6,11,36.147919654475125
BothReleased,BothReleased,True,6,12,30.44629488392942
BothReleased,BothReleased,True,4,1,23.586231113431353
BothReleased,BothReleased,True,4,2,27.320042764297508
BothReleased,BothReleased,True,4,3,28.39657419202653
BothReleased,BothReleased,True,4,5,40.02952006248647
BothReleased,BothReleased,True,4,6,30.601498576340365
BothReleased,BothReleased,True,4,7,25.343544977367838
BothReleased,BothReleased,True,4,8,31.51331856138357
BothReleased,BothReleased,True,4,9,28.610000785861786
BothReleased,BothReleased,True,4,10,29.24444922458053
BothReleased,BothReleased,True,4,11,29.91531026065876
BothReleased,BothReleased,True,4,12,26.897470602422462
BothReleased,BothReleased,True,8,1,27.932415296789753
BothReleased,BothReleased,True,8,2,19.667782259463166
BothReleased,BothReleased,True,8,3,29.125101425546717
BothReleased,BothReleased,True,8,4,31.507938045337823
BothReleased,BothReleased,True,8,5,36.11786801762724
BothReleased,BothReleased,True,8,6,30.040763253518392
BothReleased,BothReleased,True,8,7,29.934458234020152
BothReleased,BothReleased,True,8,9,36.04258159258997
BothReleased,BothReleased,True,8,10,27.77990792539725
BothReleased,BothReleased,True,8,11,35.62080930238937
BothReleased,BothReleased,True,8,12,24.207160040940682
BothReleased,BothStartLoadPhase,False,3,1,28.449178758656114
BothReleased,BothStartLoadPhase,False,3,2,26.810448177511024
BothReleased,BothStartLoadPhase,False,3,4,25.220987572695535
BothReleased,BothStartLoadPhase,False,3,5,30.412448910872346
BothReleased,BothStartLoadPhase,False,3,6,27.653235081002947
BothReleased,BothStartLoadPhase,False,3,7,26.812853682180616
BothReleased,BothStartLoadPhase,False,3,8,29.502163679430886
BothReleased,BothStartLoadPhase,False,3,9,25.0420705861592
BothReleased,BothStartLoadPhase,False,3,10,26.190351110308153
BothReleased,BothStartLoadPhase,False,3,11,23.69799051304668
BothReleased,BothStartLoadPhase,False,3,12,24.885774050151475
BothReleased,BothStartLoadPhase,False,1,2,24.28155936279748
BothReleased,BothStartLoadPhase,False,1,3,25.787760809315976
BothReleased,BothStartLoadPhase,False,1,4,21.00778120110534
BothReleased,BothStartLoadPhase,False,1,5,30.417050653845017
BothReleased,BothStartLoadPhase,False,1,6,23.00605868900519
BothReleased,BothStartLoadPhase,False,1,7,23.924784844544075
BothReleased,BothStartLoadPhase,False,1,8,29.167050400569643
BothReleased,BothStartLoadPhase,False,1,9,26.53724366884268
BothReleased,BothStartLoadPhase,False,1,10,24.43724067792779
BothReleased,BothStartLoadPhase,False,1,11,24.068806414052872
BothReleased,BothStartLoadPhase,False,1,12,23.544046367944137
