classifier,classifier_file,extractor,extractor_file,subsampling,nfilter,regularization,pre_filter_order,smoothing_window,smoothing_type,subject,mean_squared_error,roc_score,roc_auc_score,precision_score,accuracy_score,date,time,id,test_series
linear-discriminant-analysis,../models/subject-1_linear-discriminant-analysis_20210913203109_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,1,0.06563513309888348,0.6637244797740769,0.6637244797740769,0,0,13/09/2021,20:31:10,abba4218-f461-4d85-adf9-a8d5e7910ddc,[1]
linear-discriminant-analysis,../models/subject-1_linear-discriminant-analysis_20210913203111_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,1,0.042481900572796216,0.7082340984502503,0.7082340984502503,0,0,13/09/2021,20:31:12,abba4218-f461-4d85-adf9-a8d5e7910ddc,[2]
linear-discriminant-analysis,../models/subject-1_linear-discriminant-analysis_20210913203114_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,1,0.039943050926727786,0.7029576713440647,0.7029576713440647,0,0,13/09/2021,20:31:14,abba4218-f461-4d85-adf9-a8d5e7910ddc,[3]
linear-discriminant-analysis,../models/subject-1_linear-discriminant-analysis_20210913203116_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,1,0.06215587590331717,0.651866224340495,0.651866224340495,0,0,13/09/2021,20:31:16,abba4218-f461-4d85-adf9-a8d5e7910ddc,[4]
linear-discriminant-analysis,../models/subject-1_linear-discriminant-analysis_20210913203117_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,1,0.04027486481957775,0.7241479781365053,0.7241479781365053,0,0,13/09/2021,20:31:18,abba4218-f461-4d85-adf9-a8d5e7910ddc,[5]
linear-discriminant-analysis,../models/subject-1_linear-discriminant-analysis_20210913203119_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,1,0.03836838888377033,0.7373965489420695,0.7373965489420695,0,0,13/09/2021,20:31:20,abba4218-f461-4d85-adf9-a8d5e7910ddc,[6]
linear-discriminant-analysis,../models/subject-1_linear-discriminant-analysis_20210913203121_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,1,0.05990731170191393,0.6558305079282363,0.6558305079282363,0,0,13/09/2021,20:31:22,abba4218-f461-4d85-adf9-a8d5e7910ddc,[7]
linear-discriminant-analysis,../models/subject-1_linear-discriminant-analysis_20210913203123_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,1,0.06339032317368272,0.6824458403791039,0.6824458403791039,0,0,13/09/2021,20:31:23,abba4218-f461-4d85-adf9-a8d5e7910ddc,[8]
linear-discriminant-analysis,../models/subject-2_linear-discriminant-analysis_20210913201820_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,2,0.03147591500256125,0.7591237959943856,0.7591237959943856,0,0,13/09/2021,20:18:21,44f4e487-5971-46bc-93b7-dcb76b6104b6,[1]
linear-discriminant-analysis,../models/subject-2_linear-discriminant-analysis_20210913201823_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,2,0.03263220712793874,0.3463026142262359,0.3463026142262359,0,0,13/09/2021,20:18:24,44f4e487-5971-46bc-93b7-dcb76b6104b6,[2]
linear-discriminant-analysis,../models/subject-2_linear-discriminant-analysis_20210913201825_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,2,0.0532190868843631,0.691813896585986,0.691813896585986,0,0,13/09/2021,20:18:26,44f4e487-5971-46bc-93b7-dcb76b6104b6,[3]
linear-discriminant-analysis,../models/subject-2_linear-discriminant-analysis_20210913201827_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,2,0.034286563413174126,0.7741660858230786,0.7741660858230786,0,0,13/09/2021,20:18:28,44f4e487-5971-46bc-93b7-dcb76b6104b6,[4]
linear-discriminant-analysis,../models/subject-2_linear-discriminant-analysis_20210913201830_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,2,0.05472860296296256,0.6874326889528537,0.6874326889528537,0,0,13/09/2021,20:18:30,44f4e487-5971-46bc-93b7-dcb76b6104b6,[5]
linear-discriminant-analysis,../models/subject-2_linear-discriminant-analysis_20210913201832_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,2,0.03595569596623447,0.7873793746807082,0.7873793746807082,0,0,13/09/2021,20:18:33,44f4e487-5971-46bc-93b7-dcb76b6104b6,[6]
linear-discriminant-analysis,../models/subject-2_linear-discriminant-analysis_20210913201834_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,2,0.051898593654262644,0.6902824273513932,0.6902824273513932,0,0,13/09/2021,20:18:35,44f4e487-5971-46bc-93b7-dcb76b6104b6,[7]
linear-discriminant-analysis,../models/subject-2_linear-discriminant-analysis_20210913201836_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,2,0.052208628584143206,0.7007812245544427,0.7007812245544427,0,0,13/09/2021,20:18:37,44f4e487-5971-46bc-93b7-dcb76b6104b6,[8]
linear-discriminant-analysis,../models/subject-3_linear-discriminant-analysis_20210913201838_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,3,0.0668008638132976,0.5690284343738121,0.5690284343738121,0,0,13/09/2021,20:18:38,44f4e487-5971-46bc-93b7-dcb76b6104b6,[1]
linear-discriminant-analysis,../models/subject-3_linear-discriminant-analysis_20210913201840_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,3,0.043658728055114816,0.6632636227049921,0.6632636227049921,0,0,13/09/2021,20:18:40,44f4e487-5971-46bc-93b7-dcb76b6104b6,[2]
linear-discriminant-analysis,../models/subject-3_linear-discriminant-analysis_20210913201841_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,3,0.04333055242416031,0.7085509921054919,0.7085509921054919,0,0,13/09/2021,20:18:42,44f4e487-5971-46bc-93b7-dcb76b6104b6,[3]
linear-discriminant-analysis,../models/subject-3_linear-discriminant-analysis_20210913201843_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,3,0.044545801971122734,0.7007415818084285,0.7007415818084285,0,0,13/09/2021,20:18:44,44f4e487-5971-46bc-93b7-dcb76b6104b6,[4]
linear-discriminant-analysis,../models/subject-3_linear-discriminant-analysis_20210913201846_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,3,0.03933603749347123,0.7233034889384551,0.7233034889384551,0,0,13/09/2021,20:18:46,44f4e487-5971-46bc-93b7-dcb76b6104b6,[5]
linear-discriminant-analysis,../models/subject-3_linear-discriminant-analysis_20210913201848_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,3,0.06622564840062095,0.5994675507145132,0.5994675507145132,0,0,13/09/2021,20:18:48,44f4e487-5971-46bc-93b7-dcb76b6104b6,[6]
linear-discriminant-analysis,../models/subject-3_linear-discriminant-analysis_20210913201849_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,3,0.06561296424543167,0.6098650253313364,0.6098650253313364,0,0,13/09/2021,20:18:49,44f4e487-5971-46bc-93b7-dcb76b6104b6,[7]
linear-discriminant-analysis,../models/subject-3_linear-discriminant-analysis_20210913201851_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,3,0.06635778255190695,0.602725367505,0.602725367505,0,0,13/09/2021,20:18:51,44f4e487-5971-46bc-93b7-dcb76b6104b6,[8]
linear-discriminant-analysis,../models/subject-4_linear-discriminant-analysis_20210913201852_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,4,0.047991854410605224,0.7502859185524442,0.7502859185524442,0,0,13/09/2021,20:18:53,44f4e487-5971-46bc-93b7-dcb76b6104b6,[1]
linear-discriminant-analysis,../models/subject-4_linear-discriminant-analysis_20210913201855_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,4,0.043974974401775106,0.7745953950217509,0.7745953950217509,0,0,13/09/2021,20:18:55,44f4e487-5971-46bc-93b7-dcb76b6104b6,[2]
linear-discriminant-analysis,../models/subject-4_linear-discriminant-analysis_20210913201857_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,4,0.059999608680928095,0.7151128872372556,0.7151128872372556,0,0,13/09/2021,20:18:57,44f4e487-5971-46bc-93b7-dcb76b6104b6,[3]
linear-discriminant-analysis,../models/subject-4_linear-discriminant-analysis_20210913201858_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,4,0.03664678601121213,0.8245375609369896,0.8245375609369896,0,0,13/09/2021,20:18:59,44f4e487-5971-46bc-93b7-dcb76b6104b6,[4]
linear-discriminant-analysis,../models/subject-4_linear-discriminant-analysis_20210913201900_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,4,0.06355333031620192,0.7086288543078411,0.7086288543078411,0,0,13/09/2021,20:19:01,44f4e487-5971-46bc-93b7-dcb76b6104b6,[5]
linear-discriminant-analysis,../models/subject-4_linear-discriminant-analysis_20210913201902_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,4,0.035398815597025436,0.8040021477538598,0.8040021477538598,0,0,13/09/2021,20:19:03,44f4e487-5971-46bc-93b7-dcb76b6104b6,[6]
linear-discriminant-analysis,../models/subject-4_linear-discriminant-analysis_20210913201904_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,4,0.0639959258255493,0.7091696507862707,0.7091696507862707,0,0,13/09/2021,20:19:04,44f4e487-5971-46bc-93b7-dcb76b6104b6,[7]
linear-discriminant-analysis,../models/subject-4_linear-discriminant-analysis_20210913201906_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,4,0.059563784579519295,0.729421336439615,0.729421336439615,0,0,13/09/2021,20:19:06,44f4e487-5971-46bc-93b7-dcb76b6104b6,[8]
linear-discriminant-analysis,../models/subject-5_linear-discriminant-analysis_20210913201908_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,5,0.04209631701771633,0.6821883091297986,0.6821883091297986,0,0,13/09/2021,20:19:08,44f4e487-5971-46bc-93b7-dcb76b6104b6,[1]
linear-discriminant-analysis,../models/subject-5_linear-discriminant-analysis_20210913201910_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,5,0.059783506283358594,0.6385379202749858,0.6385379202749858,0,0,13/09/2021,20:19:10,44f4e487-5971-46bc-93b7-dcb76b6104b6,[2]
linear-discriminant-analysis,../models/subject-5_linear-discriminant-analysis_20210913201912_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,5,0.04062579131788421,0.7064664893768083,0.7064664893768083,0,0,13/09/2021,20:19:12,44f4e487-5971-46bc-93b7-dcb76b6104b6,[3]
linear-discriminant-analysis,../models/subject-5_linear-discriminant-analysis_20210913201914_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,5,0.057250808176715,0.634474659019996,0.634474659019996,0,0,13/09/2021,20:19:14,44f4e487-5971-46bc-93b7-dcb76b6104b6,[4]
linear-discriminant-analysis,../models/subject-5_linear-discriminant-analysis_20210913201948_.sav,csp,../extractors/_csp_20210913201944_.sav,250,20,ledoit_wolf,5,200,boxcar,5,0.037885270762598657,0.6851193168134837,0.6851193168134837,0,0,13/09/2021,20:19:49,44f4e487-5971-46bc-93b7-dcb76b6104b6,[5]
linear-discriminant-analysis,../models/subject-5_linear-discriminant-analysis_20210913202015_.sav,csp,../extractors/_csp_20210913202011_.sav,250,20,ledoit_wolf,5,200,boxcar,5,0.03946612019598721,0.7119965926529838,0.7119965926529838,0,0,13/09/2021,20:20:16,44f4e487-5971-46bc-93b7-dcb76b6104b6,[6]
linear-discriminant-analysis,../models/subject-5_linear-discriminant-analysis_20210913202038_.sav,csp,../extractors/_csp_20210913202035_.sav,250,20,ledoit_wolf,5,200,boxcar,5,0.05358907298734208,0.6269892765214057,0.6269892765214057,0,0,13/09/2021,20:20:38,44f4e487-5971-46bc-93b7-dcb76b6104b6,[7]
linear-discriminant-analysis,../models/subject-5_linear-discriminant-analysis_20210913202059_.sav,csp,../extractors/_csp_20210913202056_.sav,250,20,ledoit_wolf,5,200,boxcar,5,0.055841953454467526,0.5609349543328473,0.5609349543328473,0,0,13/09/2021,20:20:59,44f4e487-5971-46bc-93b7-dcb76b6104b6,[8]
linear-discriminant-analysis,../models/subject-6_linear-discriminant-analysis_20210913202100_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,6,0.05500892134544578,0.5977988477044565,0.5977988477044565,0,0,13/09/2021,20:21:01,44f4e487-5971-46bc-93b7-dcb76b6104b6,[1]
linear-discriminant-analysis,../models/subject-6_linear-discriminant-analysis_20210913202127_.sav,csp,../extractors/_csp_20210913202123_.sav,250,20,ledoit_wolf,5,200,boxcar,6,0.03960811773380186,0.6184852461254481,0.6184852461254481,0,0,13/09/2021,20:21:28,44f4e487-5971-46bc-93b7-dcb76b6104b6,[2]
linear-discriminant-analysis,../models/subject-6_linear-discriminant-analysis_20210913202153_.sav,csp,../extractors/_csp_20210913202149_.sav,250,20,ledoit_wolf,5,200,boxcar,6,0.038821893155972176,0.606466166137887,0.606466166137887,0,0,13/09/2021,20:21:54,44f4e487-5971-46bc-93b7-dcb76b6104b6,[3]
linear-discriminant-analysis,../models/subject-6_linear-discriminant-analysis_20210913202220_.sav,csp,../extractors/_csp_20210913202216_.sav,250,20,ledoit_wolf,5,200,boxcar,6,0.056248447272925266,0.6283487170632088,0.6283487170632088,0,0,13/09/2021,20:22:20,44f4e487-5971-46bc-93b7-dcb76b6104b6,[4]
linear-discriminant-analysis,../models/subject-6_linear-discriminant-analysis_20210913202245_.sav,csp,../extractors/_csp_20210913202241_.sav,250,20,ledoit_wolf,5,200,boxcar,6,0.04024328873822777,0.607532243739869,0.607532243739869,0,0,13/09/2021,20:22:46,44f4e487-5971-46bc-93b7-dcb76b6104b6,[5]
linear-discriminant-analysis,../models/subject-6_linear-discriminant-analysis_20210913202309_.sav,csp,../extractors/_csp_20210913202305_.sav,250,20,ledoit_wolf,5,200,boxcar,6,0.03889121479076473,0.6033490835292631,0.6033490835292631,0,0,13/09/2021,20:23:10,44f4e487-5971-46bc-93b7-dcb76b6104b6,[6]
linear-discriminant-analysis,../models/subject-6_linear-discriminant-analysis_20210913202332_.sav,csp,../extractors/_csp_20210913202329_.sav,250,20,ledoit_wolf,5,200,boxcar,6,0.0546229105105614,0.6525082417051961,0.6525082417051961,0,0,13/09/2021,20:23:33,44f4e487-5971-46bc-93b7-dcb76b6104b6,[7]
linear-discriminant-analysis,../models/subject-6_linear-discriminant-analysis_20210913202359_.sav,csp,../extractors/_csp_20210913202356_.sav,250,20,ledoit_wolf,5,200,boxcar,6,0.054468008880895556,0.6236590798640248,0.6236590798640248,0,0,13/09/2021,20:24:00,44f4e487-5971-46bc-93b7-dcb76b6104b6,[8]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202402_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,7,0.03376837405372372,0.7158191005711361,0.7158191005711361,0,0,13/09/2021,20:24:03,44f4e487-5971-46bc-93b7-dcb76b6104b6,[1]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202429_.sav,csp,../extractors/_csp_20210913202425_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.04479837015738127,0.6671700961221326,0.6671700961221326,0,0,13/09/2021,20:24:29,44f4e487-5971-46bc-93b7-dcb76b6104b6,[2]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202453_.sav,csp,../extractors/_csp_20210913202449_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.0341629854814418,0.7481788679573996,0.7481788679573996,0,0,13/09/2021,20:24:53,44f4e487-5971-46bc-93b7-dcb76b6104b6,[3]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202517_.sav,csp,../extractors/_csp_20210913202513_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.03553420439304041,0.7131190959884913,0.7131190959884913,0,0,13/09/2021,20:25:18,44f4e487-5971-46bc-93b7-dcb76b6104b6,[4]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202542_.sav,csp,../extractors/_csp_20210913202539_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.03565220930808566,0.7552080844913202,0.7552080844913202,0,0,13/09/2021,20:25:43,44f4e487-5971-46bc-93b7-dcb76b6104b6,[5]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202607_.sav,csp,../extractors/_csp_20210913202604_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.05313924913001026,0.676697199818859,0.676697199818859,0,0,13/09/2021,20:26:07,44f4e487-5971-46bc-93b7-dcb76b6104b6,[6]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202631_.sav,csp,../extractors/_csp_20210913202628_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.05406620705106427,0.7064247318677067,0.7064247318677067,0,0,13/09/2021,20:26:32,44f4e487-5971-46bc-93b7-dcb76b6104b6,[7]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202655_.sav,csp,../extractors/_csp_20210913202652_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.05292595346350559,0.70387881061627,0.70387881061627,0,0,13/09/2021,20:26:56,44f4e487-5971-46bc-93b7-dcb76b6104b6,[8]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202657_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,8,0.04165220653973025,0.7522780178184169,0.7522780178184169,0,0,13/09/2021,20:26:58,44f4e487-5971-46bc-93b7-dcb76b6104b6,[1]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202721_.sav,csp,../extractors/_csp_20210913202718_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.03913824229022336,0.7497974494921573,0.7497974494921573,0,0,13/09/2021,20:27:22,44f4e487-5971-46bc-93b7-dcb76b6104b6,[2]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202742_.sav,csp,../extractors/_csp_20210913202740_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.06506193159527618,0.6544480419408117,0.6544480419408117,0,0,13/09/2021,20:27:43,44f4e487-5971-46bc-93b7-dcb76b6104b6,[3]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202805_.sav,csp,../extractors/_csp_20210913202801_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.043258663267664456,0.7861732044309752,0.7861732044309752,0,0,13/09/2021,20:28:06,44f4e487-5971-46bc-93b7-dcb76b6104b6,[4]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202826_.sav,csp,../extractors/_csp_20210913202824_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.06996731637892663,0.6729796505808351,0.6729796505808351,0,0,13/09/2021,20:28:27,44f4e487-5971-46bc-93b7-dcb76b6104b6,[5]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202848_.sav,csp,../extractors/_csp_20210913202845_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.042167014764452726,0.7701695476593714,0.7701695476593714,0,0,13/09/2021,20:28:49,44f4e487-5971-46bc-93b7-dcb76b6104b6,[6]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202910_.sav,csp,../extractors/_csp_20210913202908_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.06805297883622892,0.6534995858965771,0.6534995858965771,0,0,13/09/2021,20:29:10,44f4e487-5971-46bc-93b7-dcb76b6104b6,[7]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202931_.sav,csp,../extractors/_csp_20210913202928_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.06831351816471136,0.7028575935661602,0.7028575935661602,0,0,13/09/2021,20:29:31,44f4e487-5971-46bc-93b7-dcb76b6104b6,[8]
linear-discriminant-analysis,../models/subject-9_linear-discriminant-analysis_20210913203743_.sav,csp,../extractors/_csp_20210913203739_.sav,250,20,ledoit_wolf,5,200,boxcar,9,0.05454873602196128,0.6258840485834657,0.6258840485834657,0,0,13/09/2021,20:37:43,c4fd3249-e659-4d65-a768-7d205aaa0e19,[1]
