classifier,extractor,window,smoothing_window,smoothing_type,test_subject,roc_score
linear-discriminant-analysis,csp,1,300,boxcar,1,0.5406346051379075
linear-discriminant-analysis,csp,1,300,boxcar,2,0.6737110585650893
linear-discriminant-analysis,csp,1,300,boxcar,3,0.6208039823757595
linear-discriminant-analysis,csp,1,300,boxcar,4,0.6032352378130829
linear-discriminant-analysis,csp,1,300,boxcar,5,0.5613947790111777
linear-discriminant-analysis,csp,1,300,boxcar,6,0.5515191631398682
linear-discriminant-analysis,csp,1,300,boxcar,7,0.6473265393330551
linear-discriminant-analysis,csp,1,300,boxcar,8,0.621893144790132
linear-discriminant-analysis,csp,1,300,boxcar,9,0.5264178653616564
linear-discriminant-analysis,csp,1,300,boxcar,10,0.5673373676548928
linear-discriminant-analysis,csp,1,300,boxcar,11,0.5670961884009852
linear-discriminant-analysis,csp,1,300,boxcar,12,0.5732955145843391
support-vector-machine,csp,1,300,boxcar,1,0.4883518043510345
support-vector-machine,csp,1,300,boxcar,2,0.5176718368460617
support-vector-machine,csp,1,300,boxcar,3,0.4943809692442473
support-vector-machine,csp,1,300,boxcar,4,0.39847534266538664
support-vector-machine,csp,1,300,boxcar,5,0.5257441328737101
support-vector-machine,csp,1,300,boxcar,6,0.5039377227647496
support-vector-machine,csp,1,300,boxcar,7,0.43573800818371217
support-vector-machine,csp,1,300,boxcar,8,0.49365487351040244
support-vector-machine,csp,1,300,boxcar,9,0.5394113978913212
support-vector-machine,csp,1,300,boxcar,10,0.5346359032296691
support-vector-machine,csp,1,300,boxcar,11,0.4090060008853949
support-vector-machine,csp,1,300,boxcar,12,0.4720503251778831
