classifier,extractor,window,smoothing_window,smoothing_type,test_subject,roc_score
linear-discriminant-analysis,csp,1,300,boxcar,1,0.567413308391879
linear-discriminant-analysis,csp,1,300,boxcar,1,0.56648993359126
linear-discriminant-analysis,csp,1,300,boxcar,1,0.5804938386578824
linear-discriminant-analysis,csp,1,300,boxcar,1,0.5753232199334056
linear-discriminant-analysis,csp,1,300,boxcar,1,0.5419029322645013
linear-discriminant-analysis,csp,1,300,boxcar,1,0.5592264156429599
linear-discriminant-analysis,csp,1,300,boxcar,1,0.5137437202830681
linear-discriminant-analysis,csp,1,300,boxcar,1,0.513706643869788
linear-discriminant-analysis,csp,1,300,boxcar,2,0.782519881893978
linear-discriminant-analysis,csp,1,300,boxcar,2,0.39112922201865136
linear-discriminant-analysis,csp,1,300,boxcar,2,0.6645888242797543
linear-discriminant-analysis,csp,1,300,boxcar,2,0.7539889497754215
linear-discriminant-analysis,csp,1,300,boxcar,2,0.6593703746519387
linear-discriminant-analysis,csp,1,300,boxcar,2,0.7402463383879455
linear-discriminant-analysis,csp,1,300,boxcar,2,0.6441073874615534
linear-discriminant-analysis,csp,1,300,boxcar,2,0.6554987937296958
linear-discriminant-analysis,csp,1,300,boxcar,3,0.549713059444088
linear-discriminant-analysis,csp,1,300,boxcar,3,0.6610725145512462
linear-discriminant-analysis,csp,1,300,boxcar,3,0.6596920516409147
linear-discriminant-analysis,csp,1,300,boxcar,3,0.6524933606438789
linear-discriminant-analysis,csp,1,300,boxcar,3,0.6712770162321681
linear-discriminant-analysis,csp,1,300,boxcar,3,0.5215306955328828
linear-discriminant-analysis,csp,1,300,boxcar,3,0.5077717232945304
linear-discriminant-analysis,csp,1,300,boxcar,3,0.5353496588628714
linear-discriminant-analysis,csp,1,300,boxcar,4,0.612160863277041
linear-discriminant-analysis,csp,1,300,boxcar,4,0.6063353163737838
linear-discriminant-analysis,csp,1,300,boxcar,4,0.5408319698569196
linear-discriminant-analysis,csp,1,300,boxcar,4,0.6563785160442053
linear-discriminant-analysis,csp,1,300,boxcar,4,0.5586028216691716
linear-discriminant-analysis,csp,1,300,boxcar,4,0.6542464382483641
linear-discriminant-analysis,csp,1,300,boxcar,4,0.5503691054267261
linear-discriminant-analysis,csp,1,300,boxcar,4,0.5098824798052531
linear-discriminant-analysis,csp,1,300,boxcar,5,0.5313077672701075
linear-discriminant-analysis,csp,1,300,boxcar,5,0.5246861622575393
linear-discriminant-analysis,csp,1,300,boxcar,5,0.5993181942009632
