classifier,extractor,window,smoothing_window,smoothing_type,subject,roc_score,test_series
linear-discriminant-analysis,csp,2,200,boxcar,1,0.6674165097755829,[1]
linear-discriminant-analysis,csp,2,200,boxcar,1,0.7069970435230034,[2]
linear-discriminant-analysis,csp,2,200,boxcar,1,0.6831750338153385,[3]
linear-discriminant-analysis,csp,2,200,boxcar,1,0.6350271979285386,[4]
linear-discriminant-analysis,csp,2,200,boxcar,1,0.6962802748422033,[5]
linear-discriminant-analysis,csp,2,200,boxcar,1,0.706155683627511,[6]
linear-discriminant-analysis,csp,2,200,boxcar,1,0.6476233722157726,[7]
linear-discriminant-analysis,csp,2,200,boxcar,1,0.6629875574267795,[8]
linear-discriminant-analysis,csp,2,200,boxcar,2,0.7947429973644108,[1]
linear-discriminant-analysis,csp,2,200,boxcar,2,0.3273479365252326,[2]
linear-discriminant-analysis,csp,2,200,boxcar,2,0.7049947335476346,[3]
linear-discriminant-analysis,csp,2,200,boxcar,2,0.8052751502460717,[4]
linear-discriminant-analysis,csp,2,200,boxcar,2,0.6984973983452005,[5]
linear-discriminant-analysis,csp,2,200,boxcar,2,0.7933785666986134,[6]
linear-discriminant-analysis,csp,2,200,boxcar,2,0.7063786917298391,[7]
linear-discriminant-analysis,csp,2,200,boxcar,2,0.7137966061083553,[8]
linear-discriminant-analysis,csp,2,200,boxcar,3,0.614467823056685,[1]
linear-discriminant-analysis,csp,2,200,boxcar,3,0.6862035608485241,[2]
linear-discriminant-analysis,csp,2,200,boxcar,3,0.7159471107218519,[3]
linear-discriminant-analysis,csp,2,200,boxcar,3,0.706941028768231,[4]
linear-discriminant-analysis,csp,2,200,boxcar,3,0.729389273695119,[5]
linear-discriminant-analysis,csp,2,200,boxcar,3,0.6239595099469999,[6]
linear-discriminant-analysis,csp,2,200,boxcar,3,0.5994375740003127,[7]
linear-discriminant-analysis,csp,2,200,boxcar,3,0.6006751237234208,[8]
linear-discriminant-analysis,csp,2,200,boxcar,4,0.7323182525118984,[1]
linear-discriminant-analysis,csp,2,200,boxcar,4,0.7753503980050619,[2]
linear-discriminant-analysis,csp,2,200,boxcar,4,0.7382278043698985,[3]
linear-discriminant-analysis,csp,2,200,boxcar,4,0.8158523275226646,[4]
linear-discriminant-analysis,csp,2,200,boxcar,4,0.7145776582954193,[5]
linear-discriminant-analysis,csp,2,200,boxcar,4,0.8021656030638425,[6]
linear-discriminant-analysis,csp,2,200,boxcar,4,0.7057146188028313,[7]
linear-discriminant-analysis,csp,2,200,boxcar,4,0.7221326186983381,[8]
linear-discriminant-analysis,csp,2,200,boxcar,5,0.6724994259547611,[1]
linear-discriminant-analysis,csp,2,200,boxcar,5,0.6606038494686072,[2]
linear-discriminant-analysis,csp,2,200,boxcar,5,0.7305728752664917,[3]
linear-discriminant-analysis,csp,2,200,boxcar,5,0.6590658634577123,[4]
linear-discriminant-analysis,csp,2,200,boxcar,5,0.6945136367520962,[5]
linear-discriminant-analysis,csp,2,200,boxcar,5,0.7246149647941951,[6]
linear-discriminant-analysis,csp,2,200,boxcar,5,0.6402160551016145,[7]
linear-discriminant-analysis,csp,2,200,boxcar,5,0.5901218196596666,[8]
linear-discriminant-analysis,csp,2,200,boxcar,6,0.6178783711158883,[1]
linear-discriminant-analysis,csp,2,200,boxcar,6,0.6343022137705185,[2]
linear-discriminant-analysis,csp,2,200,boxcar,6,0.6029359958908014,[3]
linear-discriminant-analysis,csp,2,200,boxcar,6,0.6433066163762718,[4]
linear-discriminant-analysis,csp,2,200,boxcar,6,0.6240347289042844,[5]
linear-discriminant-analysis,csp,2,200,boxcar,6,0.5864008622749132,[6]
linear-discriminant-analysis,csp,2,200,boxcar,6,0.6436132854978441,[7]
linear-discriminant-analysis,csp,2,200,boxcar,6,0.6438645330012192,[8]
linear-discriminant-analysis,csp,2,200,boxcar,7,0.7189082389188625,[1]
linear-discriminant-analysis,csp,2,200,boxcar,7,0.6446597078598264,[2]
linear-discriminant-analysis,csp,2,200,boxcar,7,0.7706314554367487,[3]
linear-discriminant-analysis,csp,2,200,boxcar,7,0.7364573255139834,[4]
linear-discriminant-analysis,csp,2,200,boxcar,7,0.7534130327733216,[5]
linear-discriminant-analysis,csp,2,200,boxcar,7,0.6416433476597067,[6]
linear-discriminant-analysis,csp,2,200,boxcar,7,0.6793290193940043,[7]
linear-discriminant-analysis,csp,2,200,boxcar,7,0.6610196060278312,[8]
linear-discriminant-analysis,csp,2,200,boxcar,8,0.7784521027923986,[1]
linear-discriminant-analysis,csp,2,200,boxcar,8,0.777417996724208,[2]
linear-discriminant-analysis,csp,2,200,boxcar,8,0.6860473893269755,[3]
linear-discriminant-analysis,csp,2,200,boxcar,8,0.7867035911160302,[4]
linear-discriminant-analysis,csp,2,200,boxcar,8,0.695893387127653,[5]
linear-discriminant-analysis,csp,2,200,boxcar,8,0.7691387699485319,[6]
linear-discriminant-analysis,csp,2,200,boxcar,8,0.6769247106198987,[7]
linear-discriminant-analysis,csp,2,200,boxcar,8,0.7060766999602061,[8]
linear-discriminant-analysis,csp,2,200,boxcar,9,0.584248345517219,[1]
linear-discriminant-analysis,csp,2,200,boxcar,9,0.6208775626451909,[2]
linear-discriminant-analysis,csp,2,200,boxcar,9,0.6054644546091636,[3]
linear-discriminant-analysis,csp,2,200,boxcar,9,0.6281781433653403,[4]
linear-discriminant-analysis,csp,2,200,boxcar,9,0.602157288238382,[5]
linear-discriminant-analysis,csp,2,200,boxcar,9,0.5874591181014428,[6]
linear-discriminant-analysis,csp,2,200,boxcar,9,0.5971719887045063,[7]
linear-discriminant-analysis,csp,2,200,boxcar,9,0.6103140732901492,[8]
linear-discriminant-analysis,csp,2,200,boxcar,10,0.7066981560049762,[1]
linear-discriminant-analysis,csp,2,200,boxcar,10,0.6776848938257474,[2]
linear-discriminant-analysis,csp,2,200,boxcar,10,0.60680223522339,[3]
linear-discriminant-analysis,csp,2,200,boxcar,10,0.6675552014268655,[4]
linear-discriminant-analysis,csp,2,200,boxcar,10,0.6019713561102172,[5]
linear-discriminant-analysis,csp,2,200,boxcar,10,0.7244367059485847,[6]
linear-discriminant-analysis,csp,2,200,boxcar,10,0.6097540902063031,[7]
linear-discriminant-analysis,csp,2,200,boxcar,10,0.61507216702833,[8]
linear-discriminant-analysis,csp,2,200,boxcar,11,0.6132891960121944,[1]
linear-discriminant-analysis,csp,2,200,boxcar,11,0.6433411953133977,[2]
linear-discriminant-analysis,csp,2,200,boxcar,11,0.6851659462345125,[3]
linear-discriminant-analysis,csp,2,200,boxcar,11,0.6807544377882774,[4]
linear-discriminant-analysis,csp,2,200,boxcar,11,0.677595864649953,[5]
linear-discriminant-analysis,csp,2,200,boxcar,11,0.6749193441977034,[6]
linear-discriminant-analysis,csp,2,200,boxcar,11,0.677624266481159,[7]
linear-discriminant-analysis,csp,2,200,boxcar,11,0.7106474732490277,[8]
linear-discriminant-analysis,csp,2,200,boxcar,12,0.6598095070214339,[1]
linear-discriminant-analysis,csp,2,200,boxcar,12,0.6782487151024976,[2]
linear-discriminant-analysis,csp,2,200,boxcar,12,0.7014033082800012,[3]
linear-discriminant-analysis,csp,2,200,boxcar,12,0.6485167569046865,[4]
linear-discriminant-analysis,csp,2,200,boxcar,12,0.6998014696746075,[5]
linear-discriminant-analysis,csp,2,200,boxcar,12,0.671644885111167,[6]
linear-discriminant-analysis,csp,2,200,boxcar,12,0.598531545271861,[7]
linear-discriminant-analysis,csp,2,200,boxcar,12,0.6134791175469952,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,1,0.6655292958675596,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,1,0.6942903037087035,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,1,0.6754317049721229,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,1,0.6485303246155999,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,1,0.7103215193182023,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,1,0.697413305847327,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,1,0.6402304869318447,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,1,0.671207493671691,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,2,0.8082133728092348,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,2,0.33451196185908416,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,2,0.7185786258197049,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,2,0.8202289973901121,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,2,0.7000743854466641,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,2,0.8001636327758112,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,2,0.6919425498872412,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,2,0.7208481567066171,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,3,0.6151295969671846,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,3,0.69324445231112,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,3,0.7067236362015908,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,3,0.7134291525993244,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,3,0.7291575938084814,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,3,0.5930696625801496,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,3,0.6168434478905568,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,3,0.6138930218288967,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,4,0.7377499637631505,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,4,0.7750740513474105,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,4,0.7407872115814956,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,4,0.8160769787319936,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,4,0.708658983171765,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,4,0.7997634926885491,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,4,0.7044296579121073,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,4,0.714048488932753,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,5,0.6772878299004471,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,5,0.665995287027099,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,5,0.7244074478332715,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,5,0.6664424641030465,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,5,0.6872860525692072,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,5,0.7169956291876326,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,5,0.6493686841182899,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,5,0.59338478716192,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,6,0.6069009638577654,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,6,0.6137665891002239,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,6,0.5914742135860217,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,6,0.6406239204470331,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,6,0.6227244666448338,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,6,0.5906619684824385,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,6,0.647608616425189,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,6,0.6380697409722588,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,7,0.7139599095723596,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,7,0.6454305036339024,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,7,0.7719532633792158,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,7,0.7444767965781397,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,7,0.7543340922014798,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,7,0.6446334599958479,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,7,0.6765618448698484,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,7,0.6611266340646903,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,8,0.7803762980799176,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,8,0.7806869969179857,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,8,0.6895664220556507,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,8,0.7781304109448706,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,8,0.7009166291880552,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,8,0.7733818435239113,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,8,0.6707734272447577,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,8,0.7030043195366863,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,9,0.5914775016902486,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,9,0.624515313892582,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,9,0.5888138757257914,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,9,0.6442419395509057,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,9,0.6203007851194282,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,9,0.6077939948161482,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,9,0.5983405764439369,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,9,0.5979660680908254,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,10,0.7011388675564388,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,10,0.6797855702759709,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,10,0.6086004295656778,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,10,0.6601171415537193,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,10,0.5995091607321724,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,10,0.7218436998614369,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,10,0.605726531774949,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,10,0.6154912566727436,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,11,0.6028802690700672,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,11,0.6461571572814487,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,11,0.6839905760666607,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,11,0.6813841474603218,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,11,0.672935001666921,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,11,0.6782784553581312,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,11,0.6732860299262767,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,11,0.7028576585897836,[8]
linear-discriminant-analysis,csp,1.5,200,boxcar,12,0.6761233233514695,[1]
linear-discriminant-analysis,csp,1.5,200,boxcar,12,0.6861198378533766,[2]
linear-discriminant-analysis,csp,1.5,200,boxcar,12,0.7349245621741675,[3]
linear-discriminant-analysis,csp,1.5,200,boxcar,12,0.6743259166291603,[4]
linear-discriminant-analysis,csp,1.5,200,boxcar,12,0.7008068731354985,[5]
linear-discriminant-analysis,csp,1.5,200,boxcar,12,0.6919761241220893,[6]
linear-discriminant-analysis,csp,1.5,200,boxcar,12,0.5977537950830313,[7]
linear-discriminant-analysis,csp,1.5,200,boxcar,12,0.6385148563273915,[8]
linear-discriminant-analysis,csp,1,200,boxcar,1,0.6655292958675596,[1]
linear-discriminant-analysis,csp,1,200,boxcar,1,0.6942903037087035,[2]
linear-discriminant-analysis,csp,1,200,boxcar,1,0.6754317049721229,[3]
linear-discriminant-analysis,csp,1,200,boxcar,1,0.6485303246155999,[4]
linear-discriminant-analysis,csp,1,200,boxcar,1,0.7103215193182023,[5]
linear-discriminant-analysis,csp,1,200,boxcar,1,0.697413305847327,[6]
linear-discriminant-analysis,csp,1,200,boxcar,1,0.6402304869318447,[7]
linear-discriminant-analysis,csp,1,200,boxcar,1,0.671207493671691,[8]
linear-discriminant-analysis,csp,1,200,boxcar,2,0.8082133728092348,[1]
linear-discriminant-analysis,csp,1,200,boxcar,2,0.33451196185908416,[2]
linear-discriminant-analysis,csp,1,200,boxcar,2,0.7185786258197049,[3]
linear-discriminant-analysis,csp,1,200,boxcar,2,0.8202289973901121,[4]
linear-discriminant-analysis,csp,1,200,boxcar,2,0.7000743854466641,[5]
linear-discriminant-analysis,csp,1,200,boxcar,2,0.8001636327758112,[6]
linear-discriminant-analysis,csp,1,200,boxcar,2,0.6919425498872412,[7]
linear-discriminant-analysis,csp,1,200,boxcar,2,0.7208481567066171,[8]
linear-discriminant-analysis,csp,1,200,boxcar,3,0.6151295969671846,[1]
linear-discriminant-analysis,csp,1,200,boxcar,3,0.69324445231112,[2]
linear-discriminant-analysis,csp,1,200,boxcar,3,0.7067236362015908,[3]
linear-discriminant-analysis,csp,1,200,boxcar,3,0.7134291525993244,[4]
linear-discriminant-analysis,csp,1,200,boxcar,3,0.7291575938084814,[5]
linear-discriminant-analysis,csp,1,200,boxcar,3,0.5930696625801496,[6]
linear-discriminant-analysis,csp,1,200,boxcar,3,0.6168434478905568,[7]
linear-discriminant-analysis,csp,1,200,boxcar,3,0.6138930218288967,[8]
linear-discriminant-analysis,csp,1,200,boxcar,4,0.7377499637631505,[1]
linear-discriminant-analysis,csp,1,200,boxcar,4,0.7750740513474105,[2]
linear-discriminant-analysis,csp,1,200,boxcar,4,0.7407872115814956,[3]
linear-discriminant-analysis,csp,1,200,boxcar,4,0.8160769787319936,[4]
linear-discriminant-analysis,csp,1,200,boxcar,4,0.708658983171765,[5]
linear-discriminant-analysis,csp,1,200,boxcar,4,0.7997634926885491,[6]
linear-discriminant-analysis,csp,1,200,boxcar,4,0.7044296579121073,[7]
linear-discriminant-analysis,csp,1,200,boxcar,4,0.714048488932753,[8]
linear-discriminant-analysis,csp,1,200,boxcar,5,0.6772878299004471,[1]
linear-discriminant-analysis,csp,1,200,boxcar,5,0.665995287027099,[2]
linear-discriminant-analysis,csp,1,200,boxcar,5,0.7244074478332715,[3]
linear-discriminant-analysis,csp,1,200,boxcar,5,0.6664424641030465,[4]
linear-discriminant-analysis,csp,1,200,boxcar,5,0.6872860525692072,[5]
linear-discriminant-analysis,csp,1,200,boxcar,5,0.7169956291876326,[6]
linear-discriminant-analysis,csp,1,200,boxcar,5,0.6493686841182899,[7]
linear-discriminant-analysis,csp,1,200,boxcar,5,0.59338478716192,[8]
linear-discriminant-analysis,csp,1,200,boxcar,6,0.6069009638577654,[1]
linear-discriminant-analysis,csp,1,200,boxcar,6,0.6137665891002239,[2]
linear-discriminant-analysis,csp,1,200,boxcar,6,0.5914742135860217,[3]
linear-discriminant-analysis,csp,1,200,boxcar,6,0.6406239204470331,[4]
linear-discriminant-analysis,csp,1,200,boxcar,6,0.6227244666448338,[5]
linear-discriminant-analysis,csp,1,200,boxcar,6,0.5906619684824385,[6]
linear-discriminant-analysis,csp,1,200,boxcar,6,0.647608616425189,[7]
linear-discriminant-analysis,csp,1,200,boxcar,6,0.6380697409722588,[8]
linear-discriminant-analysis,csp,1,200,boxcar,7,0.7139599095723596,[1]
linear-discriminant-analysis,csp,1,200,boxcar,7,0.6454305036339024,[2]
linear-discriminant-analysis,csp,1,200,boxcar,7,0.7719532633792158,[3]
linear-discriminant-analysis,csp,1,200,boxcar,7,0.7444767965781397,[4]
linear-discriminant-analysis,csp,1,200,boxcar,7,0.7543340922014798,[5]
linear-discriminant-analysis,csp,1,200,boxcar,7,0.6446334599958479,[6]
linear-discriminant-analysis,csp,1,200,boxcar,7,0.6765618448698484,[7]
linear-discriminant-analysis,csp,1,200,boxcar,7,0.6611266340646903,[8]
linear-discriminant-analysis,csp,1,200,boxcar,8,0.7803762980799176,[1]
linear-discriminant-analysis,csp,1,200,boxcar,8,0.7806869969179857,[2]
linear-discriminant-analysis,csp,1,200,boxcar,8,0.6895664220556507,[3]
linear-discriminant-analysis,csp,1,200,boxcar,8,0.7781304109448706,[4]
linear-discriminant-analysis,csp,1,200,boxcar,8,0.7009166291880552,[5]
linear-discriminant-analysis,csp,1,200,boxcar,8,0.7733818435239113,[6]
linear-discriminant-analysis,csp,1,200,boxcar,8,0.6707734272447577,[7]
linear-discriminant-analysis,csp,1,200,boxcar,8,0.7030043195366863,[8]
linear-discriminant-analysis,csp,1,200,boxcar,9,0.5914775016902486,[1]
linear-discriminant-analysis,csp,1,200,boxcar,9,0.624515313892582,[2]
linear-discriminant-analysis,csp,1,200,boxcar,9,0.5888138757257914,[3]
linear-discriminant-analysis,csp,1,200,boxcar,9,0.6442419395509057,[4]
linear-discriminant-analysis,csp,1,200,boxcar,9,0.6203007851194282,[5]
linear-discriminant-analysis,csp,1,200,boxcar,9,0.6077939948161482,[6]
linear-discriminant-analysis,csp,1,200,boxcar,9,0.5983405764439369,[7]
linear-discriminant-analysis,csp,1,200,boxcar,9,0.5979660680908254,[8]
linear-discriminant-analysis,csp,1,200,boxcar,10,0.7011388675564388,[1]
linear-discriminant-analysis,csp,1,200,boxcar,10,0.6797855702759709,[2]
linear-discriminant-analysis,csp,1,200,boxcar,10,0.6086004295656778,[3]
linear-discriminant-analysis,csp,1,200,boxcar,10,0.6601171415537193,[4]
linear-discriminant-analysis,csp,1,200,boxcar,10,0.5995091607321724,[5]
linear-discriminant-analysis,csp,1,200,boxcar,10,0.7218436998614369,[6]
linear-discriminant-analysis,csp,1,200,boxcar,10,0.605726531774949,[7]
linear-discriminant-analysis,csp,1,200,boxcar,10,0.6154912566727436,[8]
linear-discriminant-analysis,csp,1,200,boxcar,11,0.6028802690700672,[1]
linear-discriminant-analysis,csp,1,200,boxcar,11,0.6461571572814487,[2]
linear-discriminant-analysis,csp,1,200,boxcar,11,0.6839905760666607,[3]
linear-discriminant-analysis,csp,1,200,boxcar,11,0.6813841474603218,[4]
linear-discriminant-analysis,csp,1,200,boxcar,11,0.672935001666921,[5]
linear-discriminant-analysis,csp,1,200,boxcar,11,0.6782784553581312,[6]
linear-discriminant-analysis,csp,1,200,boxcar,11,0.6732860299262767,[7]
linear-discriminant-analysis,csp,1,200,boxcar,11,0.7028576585897836,[8]
linear-discriminant-analysis,csp,1,200,boxcar,12,0.6761233233514695,[1]
linear-discriminant-analysis,csp,1,200,boxcar,12,0.6861198378533766,[2]
linear-discriminant-analysis,csp,1,200,boxcar,12,0.7349245621741675,[3]
linear-discriminant-analysis,csp,1,200,boxcar,12,0.6743259166291603,[4]
linear-discriminant-analysis,csp,1,200,boxcar,12,0.7008068731354985,[5]
linear-discriminant-analysis,csp,1,200,boxcar,12,0.6919761241220893,[6]
linear-discriminant-analysis,csp,1,200,boxcar,12,0.5977537950830313,[7]
linear-discriminant-analysis,csp,1,200,boxcar,12,0.6385148563273915,[8]
linear-discriminant-analysis,csp,0.5,200,boxcar,1,0.6717756374085936,[1]
linear-discriminant-analysis,csp,0.5,200,boxcar,1,0.6765307552816696,[2]
linear-discriminant-analysis,csp,0.5,200,boxcar,1,0.6833764664841762,[3]
linear-discriminant-analysis,csp,0.5,200,boxcar,1,0.6449148759557809,[4]
linear-discriminant-analysis,csp,0.5,200,boxcar,1,0.6931614840090382,[5]
linear-discriminant-analysis,csp,0.5,200,boxcar,1,0.6711202661837898,[6]
linear-discriminant-analysis,csp,0.5,200,boxcar,1,0.6538827971087905,[7]
linear-discriminant-analysis,csp,0.5,200,boxcar,1,0.648598389997373,[8]
linear-discriminant-analysis,csp,0.5,200,boxcar,2,0.7993433351751448,[1]
linear-discriminant-analysis,csp,0.5,200,boxcar,2,0.33421477405706895,[2]
linear-discriminant-analysis,csp,0.5,200,boxcar,2,0.7190209994074729,[3]
linear-discriminant-analysis,csp,0.5,200,boxcar,2,0.8097311532085957,[4]
linear-discriminant-analysis,csp,0.5,200,boxcar,2,0.7301175900381466,[5]
linear-discriminant-analysis,csp,0.5,200,boxcar,2,0.8154022178041901,[6]
linear-discriminant-analysis,csp,0.5,200,boxcar,2,0.7062147726811601,[7]
linear-discriminant-analysis,csp,0.5,200,boxcar,2,0.7258944216231143,[8]
linear-discriminant-analysis,csp,0.5,200,boxcar,3,0.6024766271057794,[1]
linear-discriminant-analysis,csp,0.5,200,boxcar,3,0.6789984636845657,[2]
linear-discriminant-analysis,csp,0.5,200,boxcar,3,0.6714806963421781,[3]
linear-discriminant-analysis,csp,0.5,200,boxcar,3,0.6853181941355988,[4]
linear-discriminant-analysis,csp,0.5,200,boxcar,3,0.6966341496073579,[5]
